14.200,1.760,15.200,3.390,6.750,2.850,1450.000,1.000
13.560,1.730,20.500,2.780,6.250,3.030,1120.000,1.000
14.230,1.710,15.600,3.060,5.640,3.920,1065.000,1.000
12.000,1.510,22.000,1.250,3.600,2.650,450.000,2.000
13.880,5.040,20.000,0.340,4.900,1.330,415.000,3.000
13.050,3.860,22.500,1.590,4.800,2.010,515.000,2.000
11.410,0.740,21.000,2.010,3.080,2.310,434.000,2.000
12.250,3.880,18.500,0.780,8.210,2.000,855.000,3.000
13.730,4.360,22.500,0.470,6.620,1.750,520.000,3.000
12.960,3.450,18.500,0.700,5.280,1.750,675.000,3.000
14.120,1.480,16.800,2.430,5.000,2.820,1280.000,1.000
13.080,3.900,21.500,1.390,9.400,1.330,550.000,3.000
11.620,1.990,18.000,2.260,3.250,2.960,345.000,2.000
12.580,1.290,20.000,0.580,7.600,1.550,640.000,3.000
12.870,4.610,21.500,0.650,7.650,1.860,625.000,3.000
14.370,1.950,16.800,3.490,7.800,3.450,1480.000,1.000
13.860,1.350,16.000,3.150,7.220,3.550,1045.000,1.000
13.740,1.670,16.400,2.900,5.850,3.200,1060.000,1.000
13.840,4.120,19.500,0.830,9.010,1.640,480.000,3.000
12.430,1.530,21.500,3.150,3.940,2.840,352.000,2.000
13.160,3.570,21.000,0.550,4.000,1.680,830.000,3.000
11.840,2.890,18.000,1.320,2.650,2.520,500.000,2.000
11.820,1.470,20.800,1.600,1.950,3.330,495.000,2.000
13.170,5.190,22.000,0.630,7.900,1.480,725.000,3.000
12.510,1.730,20.500,1.920,2.940,3.570,672.000,2.000
11.450,2.400,20.000,2.790,3.250,3.390,625.000,2.000
13.160,2.360,18.600,3.240,5.680,3.170,1185.000,1.000
12.000,0.920,19.000,2.260,2.500,3.120,278.000,2.000
12.670,0.980,18.000,1.940,2.620,3.160,450.000,2.000
13.710,1.860,16.600,2.880,3.800,4.000,1035.000,1.000
11.560,2.050,28.500,5.080,6.000,3.690,465.000,2.000
12.520,2.430,21.000,2.270,2.000,2.780,325.000,2.000
13.560,1.710,16.200,3.290,6.130,3.380,795.000,1.000
12.790,2.670,22.000,1.360,10.800,1.470,480.000,3.000
13.780,2.760,22.000,0.680,9.580,1.680,615.000,3.000
13.900,1.680,16.000,3.390,6.100,3.330,985.000,1.000
14.300,1.920,20.000,3.140,6.200,2.650,1280.000,1.000
13.480,1.810,20.500,2.980,5.100,3.470,920.000,1.000
12.370,1.630,24.500,2.450,2.120,2.780,342.000,2.000
13.050,1.770,17.000,3.000,5.040,3.350,885.000,1.000
12.880,2.990,20.000,1.220,5.400,1.420,530.000,3.000
13.450,3.700,23.000,0.920,10.680,1.560,695.000,3.000
11.810,2.120,21.500,0.990,2.500,2.260,625.000,2.000
12.690,1.530,20.700,1.460,3.050,2.060,495.000,2.000
12.290,1.610,20.400,1.020,3.050,1.820,870.000,2.000
13.410,3.840,18.800,2.680,4.280,3.000,1035.000,1.000
12.370,0.940,10.600,0.570,1.950,1.820,520.000,2.000
12.000,3.430,19.000,1.640,1.280,3.050,564.000,2.000
13.520,3.170,23.500,0.520,4.350,2.060,520.000,3.000
12.290,3.170,18.000,2.990,2.300,2.830,406.000,2.000
13.320,3.240,21.500,0.760,8.420,1.620,650.000,3.000
13.200,1.780,11.200,2.760,4.380,3.400,1050.000,1.000
13.770,1.900,17.100,2.790,6.300,2.930,1375.000,1.000
13.110,1.010,15.000,3.180,5.300,3.180,502.000,2.000
12.370,1.170,19.600,2.000,4.680,3.480,510.000,2.000
