13.750,16.000,2.760,5.600,1.150,1320.000,1.000
13.580,19.100,3.190,6.900,1.090,1515.000,1.000
13.500,20.000,2.610,3.520,1.120,845.000,1.000
14.130,24.500,0.760,9.200,0.610,560.000,3.000
12.370,10.600,0.570,1.950,1.050,520.000,2.000
14.390,14.600,2.520,5.250,1.020,1290.000,1.000
13.050,17.000,3.000,5.040,0.880,885.000,1.000
12.930,18.600,2.410,4.500,1.030,770.000,1.000
13.110,25.500,1.280,7.100,0.610,425.000,3.000
12.330,14.800,1.850,3.400,1.060,750.000,2.000
12.820,19.500,0.660,10.260,0.720,685.000,3.000
14.220,16.300,3.000,6.380,0.940,970.000,1.000
13.710,20.500,0.610,7.700,0.640,740.000,3.000
12.430,21.500,3.150,3.940,0.690,352.000,2.000
11.790,28.500,2.240,3.000,0.970,466.000,2.000
12.840,24.000,0.600,4.920,0.890,590.000,3.000
14.060,17.600,2.510,5.050,1.060,1295.000,1.000
11.810,21.500,0.990,2.500,0.950,625.000,2.000
13.400,23.000,0.750,7.300,0.700,750.000,3.000
13.500,24.000,1.570,8.600,0.590,500.000,3.000
12.080,22.500,2.290,2.900,0.930,385.000,2.000
13.490,24.000,1.840,3.740,0.980,472.000,2.000
13.860,16.000,3.150,7.220,1.010,1045.000,1.000
12.360,21.000,0.920,7.650,0.560,520.000,3.000
13.820,14.000,3.740,7.050,1.010,1190.000,1.000
12.040,22.000,1.750,2.600,0.790,580.000,2.000
13.830,17.200,2.990,5.600,1.240,1265.000,1.000
12.330,16.000,1.090,3.270,1.250,680.000,2.000
14.160,20.000,0.700,9.700,0.620,660.000,3.000
13.840,19.500,0.830,9.010,0.570,480.000,3.000
13.760,19.500,2.740,5.400,1.250,1235.000,1.000
11.450,20.000,2.790,3.250,0.800,625.000,2.000
12.770,16.000,1.250,3.400,0.700,372.000,2.000
12.960,18.500,0.700,5.280,0.680,675.000,3.000
13.050,18.000,2.430,4.250,1.120,1105.000,1.000
